instituicao,uf,exercicio,coluna,conta,periodo,periodicidade,valor,cores,mr,mr_mes,mes,mes_ano,final_mes,mes_ano_end
Governo do Distrito Federal,DF,2018,<MR-11>,ICMS,6,B,702087496.39,rcl,12,-11,1,2018-01-01,2018-01-02,2018-01-31
Governo do Distrito Federal,DF,2018,<MR-2>,ICMS,6,B,666404733.41,rcl,12,-2,10,2018-10-01,2018-10-02,2018-10-31
Governo do Distrito Federal,DF,2018,<MR-3>,ICMS,6,B,699411913.33,rcl,12,-3,9,2018-09-01,2018-09-02,2018-09-30
Governo do Distrito Federal,DF,2018,<MR-4>,ICMS,6,B,666749421,rcl,12,-4,8,2018-08-01,2018-08-02,2018-08-31
Governo do Distrito Federal,DF,2018,<MR-5>,ICMS,6,B,693075565.93,rcl,12,-5,7,2018-07-01,2018-07-02,2018-07-31
Governo do Distrito Federal,DF,2018,<MR-6>,ICMS,6,B,635033777.96,rcl,12,-6,6,2018-06-01,2018-06-02,2018-06-30
Governo do Distrito Federal,DF,2018,<MR-7>,ICMS,6,B,605017291.65,rcl,12,-7,5,2018-05-01,2018-05-02,2018-05-31
Governo do Distrito Federal,DF,2018,<MR-8>,ICMS,6,B,664786671.84,rcl,12,-8,4,2018-04-01,2018-04-02,2018-04-30
Governo do Distrito Federal,DF,2018,<MR-9>,ICMS,6,B,595069492.09,rcl,12,-9,3,2018-03-01,2018-03-02,2018-03-31
Governo do Distrito Federal,DF,2018,<MR>,ICMS,6,B,715732005.85,rcl,12,,12,2018-12-01,2018-12-02,2018-12-31
Governo do Distrito Federal,DF,2019,<MR-1>,ICMS,6,B,724575295.19,rcl,12,-1,11,2019-11-01,2019-11-02,2019-11-30
Governo do Distrito Federal,DF,2019,<MR-10>,ICMS,6,B,640137663.1,rcl,12,-10,2,2019-02-01,2019-02-02,2019-02-28
Governo do Distrito Federal,DF,2019,<MR-11>,ICMS,6,B,700584241.15,rcl,12,-11,1,2019-01-01,2019-01-02,2019-01-31
Governo do Distrito Federal,DF,2019,<MR-2>,ICMS,6,B,696912926.38,rcl,12,-2,10,2019-10-01,2019-10-02,2019-10-31
Governo do Distrito Federal,DF,2019,<MR-3>,ICMS,6,B,697135442.37,rcl,12,-3,9,2019-09-01,2019-09-02,2019-09-30
Governo do Distrito Federal,DF,2019,<MR-4>,ICMS,6,B,631758309.32,rcl,12,-4,8,2019-08-01,2019-08-02,2019-08-31
Governo do Distrito Federal,DF,2019,<MR-5>,ICMS,6,B,702529903.33,rcl,12,-5,7,2019-07-01,2019-07-02,2019-07-31
Governo do Distrito Federal,DF,2019,<MR-6>,ICMS,6,B,701943841.95,rcl,12,-6,6,2019-06-01,2019-06-02,2019-06-30
Governo do Distrito Federal,DF,2019,<MR-7>,ICMS,6,B,670491216.27,rcl,12,-7,5,2019-05-01,2019-05-02,2019-05-31
Governo do Distrito Federal,DF,2019,<MR-8>,ICMS,6,B,628750025.74,rcl,12,-8,4,2019-04-01,2019-04-02,2019-04-30
Governo do Distrito Federal,DF,2019,<MR-9>,ICMS,6,B,638403299.21,rcl,12,-9,3,2019-03-01,2019-03-02,2019-03-31
Governo do Distrito Federal,DF,2019,<MR>,ICMS,6,B,740572347.63,rcl,12,,12,2019-12-01,2019-12-02,2019-12-31
Governo do Estado da Bahia,BA,2015,<MR-1>,ICMS,6,B,1574891635.06,rcl,12,-1,11,2015-11-01,2015-11-02,2015-11-30
Governo do Estado da Bahia,BA,2015,<MR-10>,ICMS,6,B,1454444368.16,rcl,12,-10,2,2015-02-01,2015-02-02,2015-02-28
Governo do Estado da Bahia,BA,2015,<MR-11>,ICMS,6,B,1583511762.78,rcl,12,-11,1,2015-01-01,2015-01-02,2015-01-31
Governo do Estado da Bahia,BA,2015,<MR-2>,ICMS,6,B,1615833564.17,rcl,12,-2,10,2015-10-01,2015-10-02,2015-10-31
Governo do Estado da Bahia,BA,2015,<MR-3>,ICMS,6,B,1484318806.54,rcl,12,-3,9,2015-09-01,2015-09-02,2015-09-30
Governo do Estado da Bahia,BA,2015,<MR-4>,ICMS,6,B,1479578362.64,rcl,12,-4,8,2015-08-01,2015-08-02,2015-08-31
Governo do Estado da Bahia,BA,2015,<MR-5>,ICMS,6,B,1455357933.58,rcl,12,-5,7,2015-07-01,2015-07-02,2015-07-31
Governo do Estado da Bahia,BA,2015,<MR-6>,ICMS,6,B,1431792705.41,rcl,12,-6,6,2015-06-01,2015-06-02,2015-06-30
Governo do Estado da Bahia,BA,2015,<MR-7>,ICMS,6,B,1421610533.88,rcl,12,-7,5,2015-05-01,2015-05-02,2015-05-31
Governo do Estado da Bahia,BA,2015,<MR-8>,ICMS,6,B,1656563207.54,rcl,12,-8,4,2015-04-01,2015-04-02,2015-04-30
Governo do Estado da Bahia,BA,2015,<MR-9>,ICMS,6,B,1360457184.69,rcl,12,-9,3,2015-03-01,2015-03-02,2015-03-31
Governo do Estado da Bahia,BA,2015,<MR>,ICMS,6,B,1797454778.43,rcl,12,,12,2015-12-01,2015-12-02,2015-12-31
Governo do Estado da Bahia,BA,2016,<MR-1>,ICMS,6,B,1728773674,rcl,12,-1,11,2016-11-01,2016-11-02,2016-11-30
Governo do Estado da Bahia,BA,2016,<MR-10>,ICMS,6,B,1497040438.3,rcl,12,-10,2,2016-02-01,2016-02-02,2016-02-29
Governo do Estado da Bahia,BA,2016,<MR-11>,ICMS,6,B,1724578251.84,rcl,12,-11,1,2016-01-01,2016-01-02,2016-01-31
Governo do Estado da Bahia,BA,2016,<MR-2>,ICMS,6,B,1569135541.7,rcl,12,-2,10,2016-10-01,2016-10-02,2016-10-31
Governo do Estado da Bahia,BA,2016,<MR-3>,ICMS,6,B,1579475656.17,rcl,12,-3,9,2016-09-01,2016-09-02,2016-09-30
Governo do Estado da Bahia,BA,2016,<MR-4>,ICMS,6,B,1631183948.8,rcl,12,-4,8,2016-08-01,2016-08-02,2016-08-31
Governo do Estado da Bahia,BA,2016,<MR-5>,ICMS,6,B,1571070522.49,rcl,12,-5,7,2016-07-01,2016-07-02,2016-07-31
Governo do Estado da Bahia,BA,2016,<MR-6>,ICMS,6,B,1545468685.81,rcl,12,-6,6,2016-06-01,2016-06-02,2016-06-30
Governo do Estado da Bahia,BA,2016,<MR-7>,ICMS,6,B,1549765641.38,rcl,12,-7,5,2016-05-01,2016-05-02,2016-05-31
Governo do Estado da Bahia,BA,2016,<MR-8>,ICMS,6,B,1545992966.11,rcl,12,-8,4,2016-04-01,2016-04-02,2016-04-30
Governo do Estado da Bahia,BA,2016,<MR-9>,ICMS,6,B,1440538386.18,rcl,12,-9,3,2016-03-01,2016-03-02,2016-03-31
Governo do Estado da Bahia,BA,2016,<MR>,ICMS,6,B,1838684760.21,rcl,12,,12,2016-12-01,2016-12-02,2016-12-31
Governo do Estado da Bahia,BA,2017,<MR-1>,ICMS,6,B,1842442920.2,rcl,12,-1,11,2017-11-01,2017-11-02,2017-11-30
Governo do Estado da Bahia,BA,2017,<MR-10>,ICMS,6,B,1526609601.99,rcl,12,-10,2,2017-02-01,2017-02-02,2017-02-28
Governo do Estado da Bahia,BA,2017,<MR-11>,ICMS,6,B,1729279006.76,rcl,12,-11,1,2017-01-01,2017-01-02,2017-01-31
Governo do Estado da Bahia,BA,2017,<MR-2>,ICMS,6,B,1802192313.01,rcl,12,-2,10,2017-10-01,2017-10-02,2017-10-31
Governo do Estado da Bahia,BA,2017,<MR-3>,ICMS,6,B,1759114632.95,rcl,12,-3,9,2017-09-01,2017-09-02,2017-09-30
Governo do Estado da Bahia,BA,2017,<MR-4>,ICMS,6,B,1694816480.59,rcl,12,-4,8,2017-08-01,2017-08-02,2017-08-31
Governo do Estado da Bahia,BA,2017,<MR-5>,ICMS,6,B,1790838484.96,rcl,12,-5,7,2017-07-01,2017-07-02,2017-07-31
Governo do Estado da Bahia,BA,2017,<MR-6>,ICMS,6,B,1658141861.42,rcl,12,-6,6,2017-06-01,2017-06-02,2017-06-30
Governo do Estado da Bahia,BA,2017,<MR-7>,ICMS,6,B,1622810218.04,rcl,12,-7,5,2017-05-01,2017-05-02,2017-05-31
Governo do Estado da Bahia,BA,2017,<MR-8>,ICMS,6,B,1813683081.81,rcl,12,-8,4,2017-04-01,2017-04-02,2017-04-30
Governo do Estado da Bahia,BA,2017,<MR-9>,ICMS,6,B,1597593291.36,rcl,12,-9,3,2017-03-01,2017-03-02,2017-03-31
Governo do Estado da Bahia,BA,2017,<MR>,ICMS,6,B,1913549052.49,rcl,12,,12,2017-12-01,2017-12-02,2017-12-31
Governo do Estado da Bahia,BA,2018,<MR-1>,ICMS,6,B,2080127005.41,rcl,12,-1,11,2018-11-01,2018-11-02,2018-11-30
Governo do Estado da Bahia,BA,2018,<MR-10>,ICMS,6,B,1771432165.95,rcl,12,-10,2,2018-02-01,2018-02-02,2018-02-28
Governo do Estado da Bahia,BA,2018,<MR-11>,ICMS,6,B,1916103125.23,rcl,12,-11,1,2018-01-01,2018-01-02,2018-01-31
Governo do Estado da Bahia,BA,2018,<MR-2>,ICMS,6,B,2040966116.25,rcl,12,-2,10,2018-10-01,2018-10-02,2018-10-31
Governo do Estado da Bahia,BA,2018,<MR-3>,ICMS,6,B,2133902520.73,rcl,12,-3,9,2018-09-01,2018-09-02,2018-09-30
Governo do Estado da Bahia,BA,2018,<MR-4>,ICMS,6,B,1977440523.83,rcl,12,-4,8,2018-08-01,2018-08-02,2018-08-31
Governo do Estado da Bahia,BA,2018,<MR-5>,ICMS,6,B,1976026191.55,rcl,12,-5,7,2018-07-01,2018-07-02,2018-07-31
Governo do Estado da Bahia,BA,2018,<MR-6>,ICMS,6,B,1705215513.98,rcl,12,-6,6,2018-06-01,2018-06-02,2018-06-30
Governo do Estado da Bahia,BA,2018,<MR-7>,ICMS,6,B,1737318179.52,rcl,12,-7,5,2018-05-01,2018-05-02,2018-05-31
Governo do Estado da Bahia,BA,2018,<MR-8>,ICMS,6,B,1906887010.08,rcl,12,-8,4,2018-04-01,2018-04-02,2018-04-30
Governo do Estado da Bahia,BA,2018,<MR-9>,ICMS,6,B,1631452511.28,rcl,12,-9,3,2018-03-01,2018-03-02,2018-03-31
Governo do Estado da Bahia,BA,2018,<MR>,ICMS,6,B,2630771095.03,rcl,12,,12,2018-12-01,2018-12-02,2018-12-31
Governo do Estado da Bahia,BA,2019,<MR-1>,ICMS,6,B,2220067374.14,rcl,12,-1,11,2019-11-01,2019-11-02,2019-11-30
Governo do Estado da Bahia,BA,2019,<MR-10>,ICMS,6,B,1950940864.54,rcl,12,-10,2,2019-02-01,2019-02-02,2019-02-28
Governo do Estado da Bahia,BA,2019,<MR-11>,ICMS,6,B,2002566551.52,rcl,12,-11,1,2019-01-01,2019-01-02,2019-01-31
Governo do Estado da Bahia,BA,2019,<MR-2>,ICMS,6,B,1994622060.37,rcl,12,-2,10,2019-10-01,2019-10-02,2019-10-31
Governo do Estado da Bahia,BA,2019,<MR-3>,ICMS,6,B,2158979753.68,rcl,12,-3,9,2019-09-01,2019-09-02,2019-09-30
