instituicao,uf,exercicio,coluna,conta,periodo,periodicidade,valor,cores,mr,mr_mes,mes,mes_ano,final_mes,mes_ano_end
Governo do Estado de Pernambuco,PE,2019,<MR-1>,ICMS,6,B,1569868383.59,rcl,12,-1,11,2019-11-01,2019-11-02,2019-11-30
Governo do Estado de Pernambuco,PE,2019,<MR-10>,ICMS,6,B,1235442619.74,rcl,12,-10,2,2019-02-01,2019-02-02,2019-02-28
Governo do Estado de Pernambuco,PE,2019,<MR-11>,ICMS,6,B,1495979601.09,rcl,12,-11,1,2019-01-01,2019-01-02,2019-01-31
Governo do Estado de Pernambuco,PE,2019,<MR-2>,ICMS,6,B,1517422116.62,rcl,12,-2,10,2019-10-01,2019-10-02,2019-10-31
Governo do Estado de Pernambuco,PE,2019,<MR-3>,ICMS,6,B,1327736519.24,rcl,12,-3,9,2019-09-01,2019-09-02,2019-09-30
Governo do Estado de Pernambuco,PE,2019,<MR-4>,ICMS,6,B,1431792753.92,rcl,12,-4,8,2019-08-01,2019-08-02,2019-08-31
Governo do Estado de Pernambuco,PE,2019,<MR-5>,ICMS,6,B,1450604166.17,rcl,12,-5,7,2019-07-01,2019-07-02,2019-07-31
Governo do Estado de Pernambuco,PE,2019,<MR-6>,ICMS,6,B,1330706730.37,rcl,12,-6,6,2019-06-01,2019-06-02,2019-06-30
Governo do Estado de Pernambuco,PE,2019,<MR-7>,ICMS,6,B,1382320165.24,rcl,12,-7,5,2019-05-01,2019-05-02,2019-05-31
Governo do Estado de Pernambuco,PE,2019,<MR-8>,ICMS,6,B,1400448346.7,rcl,12,-8,4,2019-04-01,2019-04-02,2019-04-30
Governo do Estado de Pernambuco,PE,2019,<MR-9>,ICMS,6,B,1294123856.36,rcl,12,-9,3,2019-03-01,2019-03-02,2019-03-31
Governo do Estado de Pernambuco,PE,2019,<MR>,ICMS,6,B,1858403029.52,rcl,12,,12,2019-12-01,2019-12-02,2019-12-31
Governo do Estado de Rondônia,RO,2015,<MR-1>,ICMS,6,B,244232151.73,rcl,12,-1,11,2015-11-01,2015-11-02,2015-11-30
Governo do Estado de Rondônia,RO,2015,<MR-10>,ICMS,6,B,245326304.05,rcl,12,-10,2,2015-02-01,2015-02-02,2015-02-28
Governo do Estado de Rondônia,RO,2015,<MR-11>,ICMS,6,B,277520551.29,rcl,12,-11,1,2015-01-01,2015-01-02,2015-01-31
Governo do Estado de Rondônia,RO,2015,<MR-2>,ICMS,6,B,257428724.16,rcl,12,-2,10,2015-10-01,2015-10-02,2015-10-31
Governo do Estado de Rondônia,RO,2015,<MR-3>,ICMS,6,B,260009216.95,rcl,12,-3,9,2015-09-01,2015-09-02,2015-09-30
Governo do Estado de Rondônia,RO,2015,<MR-4>,ICMS,6,B,268144909.22,rcl,12,-4,8,2015-08-01,2015-08-02,2015-08-31
Governo do Estado de Rondônia,RO,2015,<MR-5>,ICMS,6,B,281502260.5,rcl,12,-5,7,2015-07-01,2015-07-02,2015-07-31
Governo do Estado de Rondônia,RO,2015,<MR-6>,ICMS,6,B,267024922.97,rcl,12,-6,6,2015-06-01,2015-06-02,2015-06-30
Governo do Estado de Rondônia,RO,2015,<MR-7>,ICMS,6,B,284051610.85,rcl,12,-7,5,2015-05-01,2015-05-02,2015-05-31
Governo do Estado de Rondônia,RO,2015,<MR-8>,ICMS,6,B,270868871.04,rcl,12,-8,4,2015-04-01,2015-04-02,2015-04-30
Governo do Estado de Rondônia,RO,2015,<MR-9>,ICMS,6,B,206713811.08,rcl,12,-9,3,2015-03-01,2015-03-02,2015-03-31
Governo do Estado de Rondônia,RO,2015,<MR>,ICMS,6,B,284456832.11,rcl,12,,12,2015-12-01,2015-12-02,2015-12-31
Governo do Estado de Rondônia,RO,2016,<MR-1>,ICMS,6,B,241832162.52,rcl,12,-1,11,2016-11-01,2016-11-02,2016-11-30
Governo do Estado de Rondônia,RO,2016,<MR-10>,ICMS,6,B,266106616.43,rcl,12,-10,2,2016-02-01,2016-02-02,2016-02-29
Governo do Estado de Rondônia,RO,2016,<MR-11>,ICMS,6,B,271378604.92,rcl,12,-11,1,2016-01-01,2016-01-02,2016-01-31
Governo do Estado de Rondônia,RO,2016,<MR-2>,ICMS,6,B,246107441.41,rcl,12,-2,10,2016-10-01,2016-10-02,2016-10-31
Governo do Estado de Rondônia,RO,2016,<MR-3>,ICMS,6,B,266942357.49,rcl,12,-3,9,2016-09-01,2016-09-02,2016-09-30
Governo do Estado de Rondônia,RO,2016,<MR-4>,ICMS,6,B,297104208.65,rcl,12,-4,8,2016-08-01,2016-08-02,2016-08-31
Governo do Estado de Rondônia,RO,2016,<MR-5>,ICMS,6,B,272141232.81,rcl,12,-5,7,2016-07-01,2016-07-02,2016-07-31
Governo do Estado de Rondônia,RO,2016,<MR-6>,ICMS,6,B,245184402.97,rcl,12,-6,6,2016-06-01,2016-06-02,2016-06-30
Governo do Estado de Rondônia,RO,2016,<MR-7>,ICMS,6,B,270425391.58,rcl,12,-7,5,2016-05-01,2016-05-02,2016-05-31
Governo do Estado de Rondônia,RO,2016,<MR-8>,ICMS,6,B,247919035.1,rcl,12,-8,4,2016-04-01,2016-04-02,2016-04-30
Governo do Estado de Rondônia,RO,2016,<MR-9>,ICMS,6,B,230214045.15,rcl,12,-9,3,2016-03-01,2016-03-02,2016-03-31
Governo do Estado de Rondônia,RO,2016,<MR>,ICMS,6,B,278184699.05,rcl,12,,12,2016-12-01,2016-12-02,2016-12-31
Governo do Estado de Rondônia,RO,2017,<MR-1>,ICMS,6,B,261045489.6,rcl,12,-1,11,2017-11-01,2017-11-02,2017-11-30
Governo do Estado de Rondônia,RO,2017,<MR-10>,ICMS,6,B,260651710.03,rcl,12,-10,2,2017-02-01,2017-02-02,2017-02-28
Governo do Estado de Rondônia,RO,2017,<MR-11>,ICMS,6,B,271887442.67,rcl,12,-11,1,2017-01-01,2017-01-02,2017-01-31
Governo do Estado de Rondônia,RO,2017,<MR-2>,ICMS,6,B,267361737.11,rcl,12,-2,10,2017-10-01,2017-10-02,2017-10-31
Governo do Estado de Rondônia,RO,2017,<MR-3>,ICMS,6,B,286068465.27,rcl,12,-3,9,2017-09-01,2017-09-02,2017-09-30
Governo do Estado de Rondônia,RO,2017,<MR-4>,ICMS,6,B,317544700.4,rcl,12,-4,8,2017-08-01,2017-08-02,2017-08-31
Governo do Estado de Rondônia,RO,2017,<MR-5>,ICMS,6,B,301322610.88,rcl,12,-5,7,2017-07-01,2017-07-02,2017-07-31
Governo do Estado de Rondônia,RO,2017,<MR-6>,ICMS,6,B,245361429.23,rcl,12,-6,6,2017-06-01,2017-06-02,2017-06-30
Governo do Estado de Rondônia,RO,2017,<MR-7>,ICMS,6,B,309300174.33,rcl,12,-7,5,2017-05-01,2017-05-02,2017-05-31
Governo do Estado de Rondônia,RO,2017,<MR-8>,ICMS,6,B,241051370.91,rcl,12,-8,4,2017-04-01,2017-04-02,2017-04-30
Governo do Estado de Rondônia,RO,2017,<MR-9>,ICMS,6,B,236174266.68,rcl,12,-9,3,2017-03-01,2017-03-02,2017-03-31
Governo do Estado de Rondônia,RO,2017,<MR>,ICMS,6,B,285950084.63,rcl,12,,12,2017-12-01,2017-12-02,2017-12-31
Governo do Estado de Rondônia,RO,2018,<MR-1>,ICMS,6,B,340327452.66,rcl,12,-1,11,2018-11-01,2018-11-02,2018-11-30
Governo do Estado de Rondônia,RO,2018,<MR-10>,ICMS,6,B,231009734.62,rcl,12,-10,2,2018-02-01,2018-02-02,2018-02-28
Governo do Estado de Rondônia,RO,2018,<MR-11>,ICMS,6,B,312637350.25,rcl,12,-11,1,2018-01-01,2018-01-02,2018-01-31
Governo do Estado de Rondônia,RO,2018,<MR-2>,ICMS,6,B,341472232.46,rcl,12,-2,10,2018-10-01,2018-10-02,2018-10-31
Governo do Estado de Rondônia,RO,2018,<MR-3>,ICMS,6,B,311025084.61,rcl,12,-3,9,2018-09-01,2018-09-02,2018-09-30
Governo do Estado de Rondônia,RO,2018,<MR-4>,ICMS,6,B,312438151.41,rcl,12,-4,8,2018-08-01,2018-08-02,2018-08-31
Governo do Estado de Rondônia,RO,2018,<MR-5>,ICMS,6,B,321932460.2,rcl,12,-5,7,2018-07-01,2018-07-02,2018-07-31
Governo do Estado de Rondônia,RO,2018,<MR-6>,ICMS,6,B,311767937.65,rcl,12,-6,6,2018-06-01,2018-06-02,2018-06-30
Governo do Estado de Rondônia,RO,2018,<MR-7>,ICMS,6,B,281228603.76,rcl,12,-7,5,2018-05-01,2018-05-02,2018-05-31
Governo do Estado de Rondônia,RO,2018,<MR-8>,ICMS,6,B,286822574.7,rcl,12,-8,4,2018-04-01,2018-04-02,2018-04-30
Governo do Estado de Rondônia,RO,2018,<MR-9>,ICMS,6,B,288623776.8,rcl,12,-9,3,2018-03-01,2018-03-02,2018-03-31
Governo do Estado de Rondônia,RO,2018,<MR>,ICMS,6,B,355969250.28,rcl,12,,12,2018-12-01,2018-12-02,2018-12-31
Governo do Estado de Rondônia,RO,2019,<MR-1>,ICMS,6,B,342362335.22,rcl,12,-1,11,2019-11-01,2019-11-02,2019-11-30
Governo do Estado de Rondônia,RO,2019,<MR-10>,ICMS,6,B,291147251.29,rcl,12,-10,2,2019-02-01,2019-02-02,2019-02-28
Governo do Estado de Rondônia,RO,2019,<MR-11>,ICMS,6,B,336646521.53,rcl,12,-11,1,2019-01-01,2019-01-02,2019-01-31
Governo do Estado de Rondônia,RO,2019,<MR-2>,ICMS,6,B,347926489.85,rcl,12,-2,10,2019-10-01,2019-10-02,2019-10-31
Governo do Estado de Rondônia,RO,2019,<MR-3>,ICMS,6,B,387864917.19,rcl,12,-3,9,2019-09-01,2019-09-02,2019-09-30
Governo do Estado de Rondônia,RO,2019,<MR-4>,ICMS,6,B,338771125.48,rcl,12,-4,8,2019-08-01,2019-08-02,2019-08-31
Governo do Estado de Rondônia,RO,2019,<MR-5>,ICMS,6,B,363582613.32,rcl,12,-5,7,2019-07-01,2019-07-02,2019-07-31
Governo do Estado de Rondônia,RO,2019,<MR-6>,ICMS,6,B,339446040.58,rcl,12,-6,6,2019-06-01,2019-06-02,2019-06-30
Governo do Estado de Rondônia,RO,2019,<MR-7>,ICMS,6,B,345944801.78,rcl,12,-7,5,2019-05-01,2019-05-02,2019-05-31
Governo do Estado de Rondônia,RO,2019,<MR-8>,ICMS,6,B,319773711.8,rcl,12,-8,4,2019-04-01,2019-04-02,2019-04-30
Governo do Estado de Rondônia,RO,2019,<MR-9>,ICMS,6,B,268166911.23,rcl,12,-9,3,2019-03-01,2019-03-02,2019-03-31
Governo do Estado de Rondônia,RO,2019,<MR>,ICMS,6,B,403702185.19,rcl,12,,12,2019-12-01,2019-12-02,2019-12-31
Governo do Estado de Roraima,RR,2015,<MR-1>,ICMS,6,B,58795324.13,rcl,12,-1,11,2015-11-01,2015-11-02,2015-11-30
Governo do Estado de Roraima,RR,2015,<MR-10>,ICMS,6,B,49066925.91,rcl,12,-10,2,2015-02-01,2015-02-02,2015-02-28
Governo do Estado de Roraima,RR,2015,<MR-11>,ICMS,6,B,57066709.07,rcl,12,-11,1,2015-01-01,2015-01-02,2015-01-31
Governo do Estado de Roraima,RR,2015,<MR-2>,ICMS,6,B,54465143.54,rcl,12,-2,10,2015-10-01,2015-10-02,2015-10-31
Governo do Estado de Roraima,RR,2015,<MR-3>,ICMS,6,B,50597206.59,rcl,12,-3,9,2015-09-01,2015-09-02,2015-09-30
Governo do Estado de Roraima,RR,2015,<MR-4>,ICMS,6,B,51909315.6,rcl,12,-4,8,2015-08-01,2015-08-02,2015-08-31
Governo do Estado de Roraima,RR,2015,<MR-5>,ICMS,6,B,50378021.42,rcl,12,-5,7,2015-07-01,2015-07-02,2015-07-31
Governo do Estado de Roraima,RR,2015,<MR-6>,ICMS,6,B,55909742.93,rcl,12,-6,6,2015-06-01,2015-06-02,2015-06-30
Governo do Estado de Roraima,RR,2015,<MR-7>,ICMS,6,B,52989169.48,rcl,12,-7,5,2015-05-01,2015-05-02,2015-05-31
Governo do Estado de Roraima,RR,2015,<MR-8>,ICMS,6,B,56323842.76,rcl,12,-8,4,2015-04-01,2015-04-02,2015-04-30
Governo do Estado de Roraima,RR,2015,<MR-9>,ICMS,6,B,49510950.84,rcl,12,-9,3,2015-03-01,2015-03-02,2015-03-31
Governo do Estado de Roraima,RR,2015,<MR>,ICMS,6,B,55791286.4,rcl,12,,12,2015-12-01,2015-12-02,2015-12-31
Governo do Estado de Roraima,RR,2016,<MR-1>,ICMS,6,B,58572182.44,rcl,12,-1,11,2016-11-01,2016-11-02,2016-11-30
Governo do Estado de Roraima,RR,2016,<MR-10>,ICMS,6,B,53446490.88,rcl,12,-10,2,2016-02-01,2016-02-02,2016-02-29
Governo do Estado de Roraima,RR,2016,<MR-11>,ICMS,6,B,57879872.8,rcl,12,-11,1,2016-01-01,2016-01-02,2016-01-31
Governo do Estado de Roraima,RR,2016,<MR-2>,ICMS,6,B,70689504.76,rcl,12,-2,10,2016-10-01,2016-10-02,2016-10-31
Governo do Estado de Roraima,RR,2016,<MR-3>,ICMS,6,B,60418936.22,rcl,12,-3,9,2016-09-01,2016-09-02,2016-09-30
Governo do Estado de Roraima,RR,2016,<MR-4>,ICMS,6,B,62478815.49,rcl,12,-4,8,2016-08-01,2016-08-02,2016-08-31
Governo do Estado de Roraima,RR,2016,<MR-5>,ICMS,6,B,53238601.25,rcl,12,-5,7,2016-07-01,2016-07-02,2016-07-31
Governo do Estado de Roraima,RR,2016,<MR-6>,ICMS,6,B,55528399.03,rcl,12,-6,6,2016-06-01,2016-06-02,2016-06-30
Governo do Estado de Roraima,RR,2016,<MR-7>,ICMS,6,B,54823768.81,rcl,12,-7,5,2016-05-01,2016-05-02,2016-05-31
Governo do Estado de Roraima,RR,2016,<MR-8>,ICMS,6,B,62347721.91,rcl,12,-8,4,2016-04-01,2016-04-02,2016-04-30
Governo do Estado de Roraima,RR,2016,<MR-9>,ICMS,6,B,54511907.56,rcl,12,-9,3,2016-03-01,2016-03-02,2016-03-31
Governo do Estado de Roraima,RR,2016,<MR>,ICMS,6,B,64584980.15,rcl,12,,12,2016-12-01,2016-12-02,2016-12-31
Governo do Estado de Roraima,RR,2017,<MR-1>,ICMS,6,B,66571326.96,rcl,12,-1,11,2017-11-01,2017-11-02,2017-11-30
Governo do Estado de Roraima,RR,2017,<MR-10>,ICMS,6,B,57880577.43,rcl,12,-10,2,2017-02-01,2017-02-02,2017-02-28
Governo do Estado de Roraima,RR,2017,<MR-11>,ICMS,6,B,70566645.22,rcl,12,-11,1,2017-01-01,2017-01-02,2017-01-31
Governo do Estado de Roraima,RR,2017,<MR-2>,ICMS,6,B,61322067.64,rcl,12,-2,10,2017-10-01,2017-10-02,2017-10-31
Governo do Estado de Roraima,RR,2017,<MR-3>,ICMS,6,B,66643872.16,rcl,12,-3,9,2017-09-01,2017-09-02,2017-09-30
Governo do Estado de Roraima,RR,2017,<MR-4>,ICMS,6,B,60092852.13,rcl,12,-4,8,2017-08-01,2017-08-02,2017-08-31
Governo do Estado de Roraima,RR,2017,<MR-5>,ICMS,6,B,63359181.5,rcl,12,-5,7,2017-07-01,2017-07-02,2017-07-31
Governo do Estado de Roraima,RR,2017,<MR-6>,ICMS,6,B,63787674.38,rcl,12,-6,6,2017-06-01,2017-06-02,2017-06-30
Governo do Estado de Roraima,RR,2017,<MR-7>,ICMS,6,B,64761091.7,rcl,12,-7,5,2017-05-01,2017-05-02,2017-05-31
Governo do Estado de Roraima,RR,2017,<MR-8>,ICMS,6,B,64652717.25,rcl,12,-8,4,2017-04-01,2017-04-02,2017-04-30
Governo do Estado de Roraima,RR,2017,<MR-9>,ICMS,6,B,63641479.35,rcl,12,-9,3,2017-03-01,2017-03-02,2017-03-31
Governo do Estado de Roraima,RR,2017,<MR>,ICMS,6,B,69607487.25,rcl,12,,12,2017-12-01,2017-12-02,2017-12-31
Governo do Estado de Roraima,RR,2018,<MR-1>,ICMS,6,B,88889849.25,rcl,12,-1,11,2018-11-01,2018-11-02,2018-11-30
Governo do Estado de Roraima,RR,2018,<MR-10>,ICMS,6,B,58324975.51,rcl,12,-10,2,2018-02-01,2018-02-02,2018-02-28
Governo do Estado de Roraima,RR,2018,<MR-11>,ICMS,6,B,76496606.79,rcl,12,-11,1,2018-01-01,2018-01-02,2018-01-31
Governo do Estado de Roraima,RR,2018,<MR-2>,ICMS,6,B,83961129.34,rcl,12,-2,10,2018-10-01,2018-10-02,2018-10-31
Governo do Estado de Roraima,RR,2018,<MR-3>,ICMS,6,B,72020539.65,rcl,12,-3,9,2018-09-01,2018-09-02,2018-09-30
Governo do Estado de Roraima,RR,2018,<MR-4>,ICMS,6,B,67090458.85,rcl,12,-4,8,2018-08-01,2018-08-02,2018-08-31
Governo do Estado de Roraima,RR,2018,<MR-5>,ICMS,6,B,76939714.85,rcl,12,-5,7,2018-07-01,2018-07-02,2018-07-31
Governo do Estado de Roraima,RR,2018,<MR-6>,ICMS,6,B,69852922.66,rcl,12,-6,6,2018-06-01,2018-06-02,2018-06-30
Governo do Estado de Roraima,RR,2018,<MR-7>,ICMS,6,B,68229674.48,rcl,12,-7,5,2018-05-01,2018-05-02,2018-05-31
Governo do Estado de Roraima,RR,2018,<MR-8>,ICMS,6,B,76580402.42,rcl,12,-8,4,2018-04-01,2018-04-02,2018-04-30
Governo do Estado de Roraima,RR,2018,<MR-9>,ICMS,6,B,60340679.44,rcl,12,-9,3,2018-03-01,2018-03-02,2018-03-31
Governo do Estado de Roraima,RR,2018,<MR>,ICMS,6,B,80821450.25,rcl,12,,12,2018-12-01,2018-12-02,2018-12-31
Governo do Estado de Roraima,RR,2019,<MR-1>,ICMS,6,B,93073445.01,rcl,12,-1,11,2019-11-01,2019-11-02,2019-11-30
Governo do Estado de Roraima,RR,2019,<MR-10>,ICMS,6,B,77040159.76,rcl,12,-10,2,2019-02-01,2019-02-02,2019-02-28
Governo do Estado de Roraima,RR,2019,<MR-11>,ICMS,6,B,83962311.47,rcl,12,-11,1,2019-01-01,2019-01-02,2019-01-31
Governo do Estado de Roraima,RR,2019,<MR-2>,ICMS,6,B,87915552.11,rcl,12,-2,10,2019-10-01,2019-10-02,2019-10-31
Governo do Estado de Roraima,RR,2019,<MR-3>,ICMS,6,B,123177166.69,rcl,12,-3,9,2019-09-01,2019-09-02,2019-09-30
Governo do Estado de Roraima,RR,2019,<MR-4>,ICMS,6,B,82335245.52,rcl,12,-4,8,2019-08-01,2019-08-02,2019-08-31
Governo do Estado de Roraima,RR,2019,<MR-5>,ICMS,6,B,101521057.5,rcl,12,-5,7,2019-07-01,2019-07-02,2019-07-31
Governo do Estado de Roraima,RR,2019,<MR-6>,ICMS,6,B,99509960.11,rcl,12,-6,6,2019-06-01,2019-06-02,2019-06-30
Governo do Estado de Roraima,RR,2019,<MR-7>,ICMS,6,B,98469304.97,rcl,12,-7,5,2019-05-01,2019-05-02,2019-05-31
Governo do Estado de Roraima,RR,2019,<MR-8>,ICMS,6,B,92863287.9,rcl,12,-8,4,2019-04-01,2019-04-02,2019-04-30
Governo do Estado de Roraima,RR,2019,<MR-9>,ICMS,6,B,76717516.05,rcl,12,-9,3,2019-03-01,2019-03-02,2019-03-31
Governo do Estado de Roraima,RR,2019,<MR>,ICMS,6,B,100518852.6,rcl,12,,12,2019-12-01,2019-12-02,2019-12-31
Governo do Estado de Santa Catarina,SC,2015,<MR-1>,ICMS,6,B,1318477544.3,rcl,12,-1,11,2015-11-01,2015-11-02,2015-11-30
Governo do Estado de Santa Catarina,SC,2015,<MR-10>,ICMS,6,B,1295421818.84,rcl,12,-10,2,2015-02-01,2015-02-02,2015-02-28
Governo do Estado de Santa Catarina,SC,2015,<MR-11>,ICMS,6,B,1446855390.55,rcl,12,-11,1,2015-01-01,2015-01-02,2015-01-31
Governo do Estado de Santa Catarina,SC,2015,<MR-2>,ICMS,6,B,1316823759.23,rcl,12,-2,10,2015-10-01,2015-10-02,2015-10-31
Governo do Estado de Santa Catarina,SC,2015,<MR-3>,ICMS,6,B,1265951672.25,rcl,12,-3,9,2015-09-01,2015-09-02,2015-09-30
Governo do Estado de Santa Catarina,SC,2015,<MR-4>,ICMS,6,B,1289278832,rcl,12,-4,8,2015-08-01,2015-08-02,2015-08-31
Governo do Estado de Santa Catarina,SC,2015,<MR-5>,ICMS,6,B,1344885399.3,rcl,12,-5,7,2015-07-01,2015-07-02,2015-07-31
Governo do Estado de Santa Catarina,SC,2015,<MR-6>,ICMS,6,B,1267261064.12,rcl,12,-6,6,2015-06-01,2015-06-02,2015-06-30
Governo do Estado de Santa Catarina,SC,2015,<MR-7>,ICMS,6,B,1318609431.43,rcl,12,-7,5,2015-05-01,2015-05-02,2015-05-31
Governo do Estado de Santa Catarina,SC,2015,<MR-8>,ICMS,6,B,1384681707.12,rcl,12,-8,4,2015-04-01,2015-04-02,2015-04-30
Governo do Estado de Santa Catarina,SC,2015,<MR-9>,ICMS,6,B,1284027610.43,rcl,12,-9,3,2015-03-01,2015-03-02,2015-03-31
Governo do Estado de Santa Catarina,SC,2015,<MR>,ICMS,6,B,1349169265.55,rcl,12,,12,2015-12-01,2015-12-02,2015-12-31
Governo do Estado de Santa Catarina,SC,2016,<MR-1>,ICMS,6,B,1460705349.83,rcl,12,-1,11,2016-11-01,2016-11-02,2016-11-30
Governo do Estado de Santa Catarina,SC,2016,<MR-10>,ICMS,6,B,1350725196.97,rcl,12,-10,2,2016-02-01,2016-02-02,2016-02-29
Governo do Estado de Santa Catarina,SC,2016,<MR-11>,ICMS,6,B,1648576238.61,rcl,12,-11,1,2016-01-01,2016-01-02,2016-01-31
Governo do Estado de Santa Catarina,SC,2016,<MR-2>,ICMS,6,B,1524945266.16,rcl,12,-2,10,2016-10-01,2016-10-02,2016-10-31
Governo do Estado de Santa Catarina,SC,2016,<MR-3>,ICMS,6,B,1670592791.32,rcl,12,-3,9,2016-09-01,2016-09-02,2016-09-30
Governo do Estado de Santa Catarina,SC,2016,<MR-4>,ICMS,6,B,1360313351.74,rcl,12,-4,8,2016-08-01,2016-08-02,2016-08-31
Governo do Estado de Santa Catarina,SC,2016,<MR-5>,ICMS,6,B,1376165467.69,rcl,12,-5,7,2016-07-01,2016-07-02,2016-07-31
Governo do Estado de Santa Catarina,SC,2016,<MR-6>,ICMS,6,B,1322467957.06,rcl,12,-6,6,2016-06-01,2016-06-02,2016-06-30
Governo do Estado de Santa Catarina,SC,2016,<MR-7>,ICMS,6,B,1350299282.54,rcl,12,-7,5,2016-05-01,2016-05-02,2016-05-31
Governo do Estado de Santa Catarina,SC,2016,<MR-8>,ICMS,6,B,1396593322.31,rcl,12,-8,4,2016-04-01,2016-04-02,2016-04-30
Governo do Estado de Santa Catarina,SC,2016,<MR-9>,ICMS,6,B,1342299609.87,rcl,12,-9,3,2016-03-01,2016-03-02,2016-03-31
Governo do Estado de Santa Catarina,SC,2016,<MR>,ICMS,6,B,1622613377.81,rcl,12,,12,2016-12-01,2016-12-02,2016-12-31
Governo do Estado de Santa Catarina,SC,2017,<MR-1>,ICMS,6,B,1620165026.39,rcl,12,-1,11,2017-11-01,2017-11-02,2017-11-30
Governo do Estado de Santa Catarina,SC,2017,<MR-10>,ICMS,6,B,1500792168.09,rcl,12,-10,2,2017-02-01,2017-02-02,2017-02-28
Governo do Estado de Santa Catarina,SC,2017,<MR-11>,ICMS,6,B,1654322804.25,rcl,12,-11,1,2017-01-01,2017-01-02,2017-01-31
Governo do Estado de Santa Catarina,SC,2017,<MR-2>,ICMS,6,B,1584940870.99,rcl,12,-2,10,2017-10-01,2017-10-02,2017-10-31
Governo do Estado de Santa Catarina,SC,2017,<MR-3>,ICMS,6,B,1655888921.9,rcl,12,-3,9,2017-09-01,2017-09-02,2017-09-30
Governo do Estado de Santa Catarina,SC,2017,<MR-4>,ICMS,6,B,1536960508.81,rcl,12,-4,8,2017-08-01,2017-08-02,2017-08-31
Governo do Estado de Santa Catarina,SC,2017,<MR-5>,ICMS,6,B,1525332721.11,rcl,12,-5,7,2017-07-01,2017-07-02,2017-07-31
Governo do Estado de Santa Catarina,SC,2017,<MR-6>,ICMS,6,B,1556587590.96,rcl,12,-6,6,2017-06-01,2017-06-02,2017-06-30
Governo do Estado de Santa Catarina,SC,2017,<MR-7>,ICMS,6,B,1464601946.62,rcl,12,-7,5,2017-05-01,2017-05-02,2017-05-31
Governo do Estado de Santa Catarina,SC,2017,<MR-8>,ICMS,6,B,1706053946.14,rcl,12,-8,4,2017-04-01,2017-04-02,2017-04-30
Governo do Estado de Santa Catarina,SC,2017,<MR-9>,ICMS,6,B,1502909404.8,rcl,12,-9,3,2017-03-01,2017-03-02,2017-03-31
Governo do Estado de Santa Catarina,SC,2017,<MR>,ICMS,6,B,1758499308.69,rcl,12,,12,2017-12-01,2017-12-02,2017-12-31
Governo do Estado de Santa Catarina,SC,2018,<MR-1>,ICMS,6,B,1977409540.16,rcl,12,-1,11,2018-11-01,2018-11-02,2018-11-30
Governo do Estado de Santa Catarina,SC,2018,<MR-10>,ICMS,6,B,1663106605.73,rcl,12,-10,2,2018-02-01,2018-02-02,2018-02-28
Governo do Estado de Santa Catarina,SC,2018,<MR-11>,ICMS,6,B,1865831401.4,rcl,12,-11,1,2018-01-01,2018-01-02,2018-01-31
Governo do Estado de Santa Catarina,SC,2018,<MR-2>,ICMS,6,B,1879823743.38,rcl,12,-2,10,2018-10-01,2018-10-02,2018-10-31
Governo do Estado de Santa Catarina,SC,2018,<MR-3>,ICMS,6,B,1872317872.95,rcl,12,-3,9,2018-09-01,2018-09-02,2018-09-30
Governo do Estado de Santa Catarina,SC,2018,<MR-4>,ICMS,6,B,1814976820.79,rcl,12,-4,8,2018-08-01,2018-08-02,2018-08-31
Governo do Estado de Santa Catarina,SC,2018,<MR-5>,ICMS,6,B,1728619498.09,rcl,12,-5,7,2018-07-01,2018-07-02,2018-07-31
Governo do Estado de Santa Catarina,SC,2018,<MR-6>,ICMS,6,B,1509344477.04,rcl,12,-6,6,2018-06-01,2018-06-02,2018-06-30
Governo do Estado de Santa Catarina,SC,2018,<MR-7>,ICMS,6,B,1583076756.09,rcl,12,-7,5,2018-05-01,2018-05-02,2018-05-31
Governo do Estado de Santa Catarina,SC,2018,<MR-8>,ICMS,6,B,1725505324.84,rcl,12,-8,4,2018-04-01,2018-04-02,2018-04-30
Governo do Estado de Santa Catarina,SC,2018,<MR-9>,ICMS,6,B,1634535792.85,rcl,12,-9,3,2018-03-01,2018-03-02,2018-03-31
Governo do Estado de Santa Catarina,SC,2018,<MR>,ICMS,6,B,2075184487.47,rcl,12,,12,2018-12-01,2018-12-02,2018-12-31
Governo do Estado de Santa Catarina,SC,2019,<MR-1>,ICMS,6,B,2056225520.52,rcl,12,-1,11,2019-11-01,2019-11-02,2019-11-30
Governo do Estado de Santa Catarina,SC,2019,<MR-10>,ICMS,6,B,2016112355.63,rcl,12,-10,2,2019-02-01,2019-02-02,2019-02-28
Governo do Estado de Santa Catarina,SC,2019,<MR-11>,ICMS,6,B,2084662307.65,rcl,12,-11,1,2019-01-01,2019-01-02,2019-01-31
Governo do Estado de Santa Catarina,SC,2019,<MR-2>,ICMS,6,B,1975960484.56,rcl,12,-2,10,2019-10-01,2019-10-02,2019-10-31
Governo do Estado de Santa Catarina,SC,2019,<MR-3>,ICMS,6,B,1982575794.94,rcl,12,-3,9,2019-09-01,2019-09-02,2019-09-30
Governo do Estado de Santa Catarina,SC,2019,<MR-4>,ICMS,6,B,1977172771.82,rcl,12,-4,8,2019-08-01,2019-08-02,2019-08-31
Governo do Estado de Santa Catarina,SC,2019,<MR-5>,ICMS,6,B,1814381828.5,rcl,12,-5,7,2019-07-01,2019-07-02,2019-07-31
